"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","4 K"
"System","4","Services","0","21,860 K"
"smss.exe","332","Services","0","1,052 K"
"csrss.exe","476","Services","0","4,852 K"
"wininit.exe","532","Services","0","3,768 K"
"csrss.exe","548","Console","1","33,772 K"
"services.exe","592","Services","0","7,728 K"
"lsass.exe","600","Services","0","15,244 K"
"svchost.exe","676","Services","0","17,908 K"
"svchost.exe","720","Services","0","13,592 K"
"winlogon.exe","796","Console","1","6,276 K"
"dwm.exe","912","Console","1","47,504 K"
"svchost.exe","924","Services","0","31,752 K"
"svchost.exe","956","Services","0","111,120 K"
"svchost.exe","996","Services","0","58,288 K"
"svchost.exe","344","Services","0","18,580 K"
"WTabletServicePro.exe","888","Services","0","4,652 K"
"WUDFHost.exe","1044","Services","0","6,324 K"
"svchost.exe","1140","Services","0","16,276 K"
"wlanext.exe","1288","Services","0","13,624 K"
"conhost.exe","1312","Services","0","2,948 K"
"spoolsv.exe","1392","Services","0","10,260 K"
"svchost.exe","1484","Services","0","18,220 K"
"svchost.exe","1508","Services","0","32,340 K"
"AdobeUpdateService.exe","1652","Services","0","4,204 K"
"AstSrv.exe","1672","Services","0","5,756 K"
"svchost.exe","1700","Services","0","10,280 K"
"dasHost.exe","1720","Services","0","4,908 K"
"EvtEng.exe","1752","Services","0","11,572 K"
"HeciServer.exe","1804","Services","0","5,380 K"
"ibtrksrv.exe","1864","Services","0","5,112 K"
"MacroService.exe","1976","Services","0","9,556 K"
"NFCProxyService.exe","1996","Services","0","4,236 K"
"PMBDeviceInfoProvider.exe","1124","Services","0","4,696 K"
"RegSrvc.exe","1532","Services","0","6,872 K"
"sqlwriter.exe","1892","Services","0","6,144 K"
"svchost.exe","2096","Services","0","6,544 K"
"VESMgr.exe","2124","Services","0","6,636 K"
"MsMpEng.exe","2228","Services","0","33,052 K"
"ZeroConfigService.exe","2308","Services","0","13,916 K"
"VESMgrSub.exe","2360","Services","0","10,432 K"
"VESMgrSub.exe","2388","Console","1","12,660 K"
"dllhost.exe","2636","Services","0","7,312 K"
"unsecapp.exe","2644","Services","0","5,180 K"
"WmiPrvSE.exe","2668","Services","0","22,192 K"
"WmiPrvSE.exe","2844","Services","0","18,924 K"
"svchost.exe","3496","Services","0","5,020 K"
"VTSvc.exe","3320","Services","0","14,876 K"
"BTHSAmpPalService.exe","2196","Services","0","3,976 K"
"devmonsrv.exe","452","Services","0","7,676 K"
"obexsrv.exe","1852","Services","0","7,056 K"
"BTHSSecurityMgr.exe","2756","Services","0","7,476 K"
"IAStorDataMgrSvc.exe","1812","Services","0","45,640 K"
"IntelMeFWService.exe","880","Services","0","3,792 K"
"Jhi_service.exe","3400","Services","0","4,392 K"
"LMS.exe","1264","Services","0","9,772 K"
"SOHDms.exe","2876","Services","0","20,604 K"
"SpfService64.exe","3120","Services","0","10,612 K"
"SearchIndexer.exe","3932","Services","0","48,412 K"
"wmpnetwk.exe","1204","Services","0","620 K"
"VESGfxMgr.exe","4072","Console","1","5,768 K"
"igfxext.exe","3084","Console","1","5,468 K"
"igfxsrvc.exe","3592","Console","1","7,388 K"
"explorer.exe","3244","Console","1","124,904 K"
"MacroServiceWnd.exe","2928","Console","1","5,388 K"
"taskhostex.exe","3548","Console","1","11,620 K"
"Wacom_TabletUser.exe","4448","Console","1","5,456 K"
"WacomHost.exe","4540","Console","1","7,508 K"
"TabTip.exe","4668","Console","1","10,124 K"
"TabTip32.exe","4708","Console","1","3,208 K"
"Wacom_Tablet.exe","4736","Console","1","23,944 K"
"Wacom_TouchUser.exe","4916","Console","1","10,676 K"
"chrome.exe","4196","Console","1","144,548 K"
"chrome.exe","4232","Console","1","5,680 K"
"chrome.exe","2964","Console","1","6,328 K"
"chrome.exe","4936","Console","1","90,996 K"
"chrome.exe","1256","Console","1","34,380 K"
"chrome.exe","908","Console","1","33,808 K"
"chrome.exe","5028","Console","1","740,724 K"
"chrome.exe","4928","Console","1","29,356 K"
"NetworkClient.exe","5660","Console","1","172 K"
"hkcmd.exe","5764","Console","1","6,200 K"
"RAVBg64.exe","5784","Console","1","9,196 K"
"RAVBg64.exe","5836","Console","1","9,216 K"
"googledrivesync.exe","5896","Console","1","3,008 K"
"googledrivesync.exe","5904","Console","1","945,004 K"
"Peek Through.exe","5912","Console","1","32,944 K"
"always-on-top.exe","5988","Console","1","6,356 K"
"PCEqualizer.exe","5292","Console","1","33,628 K"
"audiodg.exe","5560","Services","0","25,044 K"
"VTUsr.exe","6136","Console","1","11,356 K"
"VAIO Clip.exe","6012","Console","1","192 K"
"pcee4.exe","5244","Console","1","348 K"
"IAStorIcon.exe","5424","Console","1","28,580 K"
"VAIOUpdt.exe","5044","Console","1","1,260 K"
"VUAgent.exe","3616","Services","0","6,952 K"
"SettingSyncHost.exe","4576","Console","1","8,792 K"
"VCSystemTray.exe","4268","Console","1","7,056 K"
"VCService.exe","5112","Services","0","5,516 K"
"VCAgent.exe","1164","Services","0","274,400 K"
"conhost.exe","6424","Services","0","3,496 K"
"MySpeed.exe","7124","Console","1","17,776 K"
"MySpeedx64.exe","3336","Console","1","9,484 K"
"VCAdmin.exe","2760","Console","1","62,368 K"
"MpCmdRun.exe","7212","Services","0","9,380 K"
"chrome.exe","7064","Console","1","19,484 K"
"chromedriver.exe","5628","Console","1","11,432 K"
"conhost.exe","7712","Console","1","3,592 K"
"chromedriver.exe","4644","Console","1","11,408 K"
"conhost.exe","7380","Console","1","3,564 K"
"chromedriver.exe","7460","Console","1","11,024 K"
"conhost.exe","7000","Console","1","3,580 K"
"SearchProtocolHost.exe","5296","Services","0","7,028 K"
"chromedriver.exe","4108","Console","1","11,040 K"
"conhost.exe","6420","Console","1","3,568 K"
"chromedriver.exe","4444","Console","1","11,108 K"
"conhost.exe","5124","Console","1","3,556 K"
"obs64.exe","5436","Console","1","236,428 K"
"chromedriver.exe","148","Console","1","11,072 K"
"conhost.exe","7768","Console","1","3,532 K"
"conhost.exe","5952","Console","1","7,028 K"
"java.exe","5316","Console","1","67,364 K"
"java.exe","1764","Console","1","221,328 K"
"conhost.exe","7920","Console","1","7,336 K"
"chromedriver.exe","4744","Console","1","11,512 K"
"conhost.exe","7472","Console","1","3,544 K"
"chrome.exe","7656","Console","1","80,504 K"
"chrome.exe","7080","Console","1","7,480 K"
"chrome.exe","8076","Console","1","8,068 K"
"chrome.exe","6568","Console","1","96,928 K"
"chrome.exe","4460","Console","1","24,132 K"
"chrome.exe","6208","Console","1","297,524 K"
"chrome.exe","712","Console","1","26,972 K"
"chrome.exe","2248","Console","1","18,208 K"
"SearchFilterHost.exe","8976","Services","0","6,532 K"
"livecomm.exe","2748","Console","1","8,364 K"
"WWAHost.exe","8548","Console","1","22,096 K"
"RuntimeBroker.exe","8688","Console","1","7,876 K"
"cmd.exe","8592","Console","1","2,152 K"
"conhost.exe","8316","Console","1","6,952 K"
"java.exe","8640","Console","1","81,500 K"
"ThumbnailExtractionHost.exe","8456","Console","1","6,700 K"
"tasklist.exe","8560","Console","1","5,940 K"
"conhost.exe","8756","Console","1","3,588 K"
